cellid,time,type,Layer
4889,910.8,inh,0
4789,912.6,inh,0
5029,912.9,inh,0
5259,914.0,inh,0
5269,914.7,inh,0
4379,920.0,inh,0
4819,920.0,inh,0
4249,921.1,inh,0
4909,922.4,inh,0
4689,924.4,inh,0
4169,925.4,inh,0
4579,925.5,inh,0
4649,927.5,inh,0
4679,928.8,inh,0
4529,930.3,inh,0
4439,931.2,inh,0
5219,931.9,inh,0
4709,932.3,inh,0
5259,932.9,inh,0
4159,933.0,inh,0
4309,933.3,inh,0
4279,935.3,inh,0
4659,935.5,inh,0
4689,939.1,inh,0
4169,943.5,inh,0
4559,943.6,inh,0
5259,943.7,inh,0
4319,944.2,inh,0
4909,944.6,inh,0
4819,944.7,inh,0
4389,945.4,inh,0
4679,946.0,inh,0
4799,946.4,inh,0
5139,946.5,inh,0
4989,948.3,inh,0
4579,952.9,inh,0
4269,954.9,inh,0
4689,956.1,inh,0
4789,956.5,inh,0
5219,957.0,inh,0
4679,957.8,inh,0
4379,958.8,inh,0
4529,958.9,inh,0
5029,959.8,inh,0
4909,963.9,inh,0
4169,965.6,inh,0
4779,968.8,inh,0
4299,969.2,inh,0
5239,969.3,inh,0
5269,969.6,inh,0
5029,969.9,inh,0
4699,980.1,inh,0
5259,980.1,inh,0
4939,980.2,inh,0
4869,980.5,inh,0
4249,981.1,inh,0
4789,981.1,inh,0
5279,981.1,inh,0
4559,981.5,inh,0
5239,981.5,inh,0
4689,981.7,inh,0
4599,981.9,inh,0
4269,982.1,inh,0
4589,982.3,inh,0
4899,983.1,inh,0
4989,983.4,inh,0
4579,983.6,inh,0
4159,991.2,inh,0
4639,992.9,inh,0
5159,992.9,inh,0
4979,993.1,inh,0
4259,993.6,inh,0
4529,993.6,inh,0
4649,993.6,inh,0
4169,993.8,inh,0
4819,993.8,inh,0
5259,994.0,inh,0
4969,994.3,inh,0
4439,994.7,inh,0
4339,994.9,inh,0
4799,995.4,inh,0
5169,995.8,inh,0
5029,996.3,inh,0
4839,996.9,inh,0
4679,1003.8,inh,0
5269,1004.9,inh,0
4859,1005.0,inh,0
4689,1005.5,inh,0
4509,1006.5,inh,0
4599,1006.6,inh,0
4809,1006.6,inh,0
4319,1006.7,inh,0
4819,1006.7,inh,0
4589,1006.8,inh,0
5199,1006.8,inh,0
5029,1007.1,inh,0
4629,1007.4,inh,0
4179,1007.6,inh,0
4199,1007.7,inh,0
4519,1008.0,inh,0
5139,1008.3,inh,0
5069,1008.9,inh,0
4659,1009.4,inh,0
4989,1017.3,inh,0
4649,1018.3,inh,0
5279,1019.3,inh,0
4169,1019.4,inh,0
5009,1019.5,inh,0
4779,1019.7,inh,0
4159,1020.0,inh,0
4349,1020.2,inh,0
4909,1020.2,inh,0
